year_of_incident,watch,type_of_incident,type_location,type_of_property,incident_address,reporting_area,beat,division,council_district,date1_of_occurrence,year1_of_occurrence,month1_of_occurence,day1_of_the_week,time1_of_occurrence,day1_of_the_year,date2_of_occurrence,year2_of_occurrence,month2_of_occurence,day2_of_the_week,time2_of_occurrence,day2_of_the_year,date_of_report,date_incident_created,offense_entered_year,offense_entered_month,offense_entered_day_of_the_week,offense_entered_time,offense_entered_date_time,call_received_date_time,call_date_time,call_cleared_date_time,call_dispatch_date_time,person_involvement_type,victim_type,victim_race,victim_ethnicity,victim_gender,element_number_assigned,investigating_unit_1,investigating_unit_2,offense_status,ucr_disposition,modus_operandi_mo,family_offense,hate_crime,hate_crime_description,weapon_used,gang_related_offense,drug_related_istevencident,criminal_justice_information_service_code,penal_code,ucr_offense_name,ucr_offense_description,ucr_code,offense_type,nibrs_crime,nibrs_crime_category,nibrs_crime_against,nibrs_code,nibrs_group,nibrs_type,update_date,x_coordinate,y_cordinate,zip_code,city,state,location1
2017,1,BMV,Apartment Parking Lot,N/A,9221 AMBERTON PKWY,1031,253,NORTHEAST,D10,2017-11-16T00:00:00Z,2017,November,Thu,10:00:00,320,2017-11-23T00:00:00Z,2017,November,Thu,16:00:00,327,2017-11-24T18:35:00Z,2017-11-24T17:03:04Z,2017,November,Fri,17:03:00,328,2017-11-24T13:56:25Z,2017-11-24T13:56:25Z,2017-11-24T17:19:44Z,2017-11-24T16:17:32Z,Victim,Individual,Middle Eastern,Non-Hispanic or Latino,Male,C235,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNK SUSP ENTERED COMPS M/V AND TOOK PROPERTY,FALSE,NA,None,Other,No,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,640,PART1,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2017-11-27T12:23:10Z,2508387.37368645,7022191.73186602,75243,DALLAS,TX,"9221 AMBERTON PKWY
DALLAS, TX 75243
(32.91931, -96.740909)"
2019,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Apartment Parking Lot,N/A,1212 SINGLETON BLVD,4060,424,SOUTHWEST,D6,2019-01-24T00:00:00Z,2019,January,Thu,23:30:00,24,2019-01-25T00:00:00Z,2019,January,Fri,06:30:00,25,2019-01-25T07:03:00Z,2019-01-25T08:13:57Z,2019,January,Fri,08:13:00,25,2019-01-25T07:03:38Z,2019-01-25T07:03:37Z,2019-01-25T08:38:15Z,2019-01-25T07:32:48Z,Registered Owner,Individual,Black,Non-Hispanic or Latino,Male,B456,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT CONSENT,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2020-07-10T12:31:58Z,2478210.19813,6969802.56928,75212,DALLAS,TX,"1212 SINGLETON BLVD
DALLAS, TX 75212
(32.778518, -96.841037)"
2018,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Vacant,N/A,1143 NAYARIT DR,2222,354,SOUTHEAST,D8,2018-10-29T00:00:00Z,2018,October,Mon,04:00:00,302,2018-10-29T00:00:00Z,2018,October,Mon,06:00:00,302,2018-10-29T20:15:00Z,2018-10-29T19:42:36Z,2018,October,Mon,19:42:00,302,2018-10-29T16:26:11Z,2018-10-29T16:26:11Z,2018-10-29T20:38:45Z,2018-10-29T18:45:32Z,Owner,Individual,White,Non-Hispanic or Latino,Female,C343,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,SUSP STOLE VEHICLE FROM LOCATION WITHOUT CONSENT FROM OWNER.,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2020-08-03T12:05:49Z,2532782.07326,6940081.86754,75217,DALLAS,TX,"1143 NAYARIT DR
DALLAS, TX 75217
(32.693262, -96.665318)"
2021,2,ASSAULT (AGG) -DEADLY WEAPON,Parking (Business),N/A,NA,4264,723,SOUTH CENTRAL,D4,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T18:21:00Z,2021-02-11T11:13:10Z,2021,February,Thu,11:13:00,42,2021-02-11T10:59:24Z,2021-02-11T10:59:24Z,2021-02-11T18:03:55Z,2021-02-11T10:59:24Z,Victim,Law Enforcement Offi,White,Non-Hispanic or Latino,Male,H147,Investigations,Capers / Special Investigations,Clear by Arrest,CBA (Over Age 17),SUSP POINTED HANDGUN AT COMPLAINANTS,FALSE,NA,None,Handgun,UNK,UNK,13150005,PC 22.02(a)(2),NA,NA,NA,NA,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2021-04-05T13:37:30Z,NA,NA,NA,NA,NA,NA
2021,2,ASSAULT (AGG) -DEADLY WEAPON,Parking (Business),N/A,NA,4264,723,SOUTH CENTRAL,D4,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T18:21:00Z,2021-02-11T11:13:10Z,2021,February,Thu,11:13:00,42,2021-02-11T10:59:24Z,2021-02-11T10:59:24Z,2021-02-11T18:03:55Z,2021-02-11T10:59:24Z,Victim,Law Enforcement Offi,White,Non-Hispanic or Latino,Male,H147,Investigations,Capers / Special Investigations,Clear by Arrest,CBA (Over Age 17),SUSP POINTED HANDGUN AT COMPLAINANTS,FALSE,NA,None,Handgun,UNK,UNK,13150005,PC 22.02(a)(2),NA,NA,NA,NA,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2021-04-05T13:37:30Z,NA,NA,NA,NA,NA,NA
2021,2,ASSAULT (AGG) -DEADLY WEAPON,Parking (Business),N/A,NA,4264,723,SOUTH CENTRAL,D4,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T18:21:00Z,2021-02-11T11:13:10Z,2021,February,Thu,11:13:00,42,2021-02-11T10:59:24Z,2021-02-11T10:59:24Z,2021-02-11T18:03:55Z,2021-02-11T10:59:24Z,Victim,Law Enforcement Offi,Hispanic or Latino,Hispanic or Latino,Male,H147,Investigations,Capers / Special Investigations,Clear by Arrest,CBA (Over Age 17),SUSP POINTED HANDGUN AT COMPLAINANTS,FALSE,NA,None,Handgun,UNK,UNK,13150005,PC 22.02(a)(2),NA,NA,NA,NA,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2021-04-05T13:37:30Z,NA,NA,NA,NA,NA,NA
2021,2,ASSAULT (AGG) -DEADLY WEAPON,Parking (Business),N/A,NA,4264,723,SOUTH CENTRAL,D4,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T00:00:00Z,2021,February,Thu,10:57:00,42,2021-02-11T18:21:00Z,2021-02-11T11:13:10Z,2021,February,Thu,11:13:00,42,2021-02-11T10:59:24Z,2021-02-11T10:59:24Z,2021-02-11T18:03:55Z,2021-02-11T10:59:24Z,Victim,Law Enforcement Offi,White,Non-Hispanic or Latino,Female,H147,Investigations,Capers / Special Investigations,Clear by Arrest,CBA (Over Age 17),SUSP POINTED HANDGUN AT COMPLAINANTS,FALSE,NA,None,Handgun,UNK,UNK,13150005,PC 22.02(a)(2),NA,NA,NA,NA,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2021-04-05T13:37:30Z,NA,NA,NA,NA,NA,NA
2017,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,N/A,7651 C F HAWN FWY,2209,353,SOUTHEAST,D5,2017-06-15T00:00:00Z,2017,June,Thu,14:00:00,166,2017-06-17T00:00:00Z,2017,June,Sat,12:00:00,168,2017-06-17T13:57:00Z,2017-06-17T17:00:41Z,2017,June,Sat,17:00:00,168,2017-06-17T13:57:17Z,2017-06-17T13:57:16Z,2017-06-17T17:35:59Z,2017-06-17T16:25:09Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,F335,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION.,FALSE,NA,None,Other,UNK,UNK,24110003,PC 31.07,UUMV,AUTO THEFT - UUMV,710,PART1,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Not Coded,2019-04-28T02:17:53Z,2524932.29072778,6948846.37560427,75217,DALLAS,TX,"7651 C F HAWN FWY
DALLAS, TX 75217
(32.717415, -96.690606)"
2020,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,N/A,2408 VICTORY PARK LN,6065,131,CENTRAL,D2,2020-11-17T00:00:00Z,2020,November,Tue,12:30:00,322,2020-11-17T00:00:00Z,2020,November,Tue,17:30:00,322,2020-11-18T09:07:00Z,2020-11-18T09:38:52Z,2020,November,Wed,09:38:00,323,2020-11-18T09:07:46Z,2020-11-18T09:07:46Z,2020-11-18T09:45:54Z,2020-11-18T09:14:05Z,Registered Owner,Individual,White,Non-Hispanic or Latino,Female,L212,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNK SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT.,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2021-04-21T13:41:18Z,2488041.64,6973666.13791,75201,DALLAS,TX,"2408 VICTORY PARK LN
DALLAS, TX 75201
(32.787523, -96.809284)"
2016,1,BMV (OF AUTO ACCESSORY) (P.C. 30.04(A)),Parking Lot (All Others),N/A,1300 E LEDBETTER DR,4336,735,SOUTH CENTRAL,D3,2016-05-08T00:00:00Z,2016,May,Sun,08:00:00,129,2016-06-23T00:00:00Z,2016,June,Thu,14:30:00,175,2016-06-23T14:56:00Z,2016-06-23T15:00:27Z,2016,June,Thu,15:00:00,175,2016-06-23T14:44:14Z,2016-06-23T14:44:14Z,2016-06-23T17:08:53Z,2016-06-23T14:52:39Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,D712,Investigations,Property Crime Division / SC Property Crimes,Suspended,Suspended,UNKNOWN SUSPECT ENTERED VEHICLE AND STOLE PROPERTY.,FALSE,NA,None,Other,No,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,650,PART1,NA,NA,NA,NA,NA,NA,2016-11-03T14:51:05Z,2490727.19608036,6935431.8427221,75216,DALLAS,TX,"1300 E LEDBETTER DR
DALLAS, TX 75216
(32.684545, -96.796206)"
